NAME                            READY   PHASE     AGE
doca-telemetry-service-7s8pb    True    Success   42m
flannel                         True    Success   26h
hbn-gffmv                       True    Success   25m
kube-state-metrics-rbac         True    Success   4h10m
node-problem-detector           True    Success   4h10m
nvidia-k8s-ipam-node            True    Success   4h10m
ovn-f49zx                       True    Success   17m
ovs-cni                         True    Success   26h
servicechainset-rbac-and-crds   True    Success   138m
sfc-controller                  True    Success   26h
sriov-device-plugin             True    Success   26h
